timestamp,price
2025-05-03,149.9405532055914
2025-05-04,147.77896875410752
2025-05-05,147.31439649844745
2025-05-06,145.97817971923854
2025-05-07,147.20905777453768
2025-05-08,148.29616936186332
2025-05-09,149.5451161560791
2025-05-10,152.28553580667275
2025-05-11,153.9583307263963
2025-05-12,153.5791907890577
2025-05-13,153.8064667401127
2025-05-14,153.40146547099422
2025-05-15,151.2166632044274
2025-05-16,150.20148146683275
2025-05-17,148.65423893387316
2025-05-18,147.84936243623093
2025-05-19,148.7038937834756
2025-05-20,150.38443865490052
2025-05-21,150.03939418543712
2025-05-22,150.69401512968912
2025-05-23,151.60161399583305
2025-05-24,153.50102344565803
2025-05-25,155.51598172998794
2025-05-26,156.37397506025158
2025-05-27,154.0070643875317
2025-05-28,156.48609384291683
2025-05-29,159.10882975310054
2025-05-30,158.562329647201
2025-05-31,159.23709494151805
2025-06-01,157.83768256571173
