timestamp,price
2025-05-03,3475.837602954386
2025-05-04,3443.536337941373
2025-05-05,3438.906451613564
2025-05-06,3436.5397271112765
2025-05-07,3443.3069303029974
2025-05-08,3463.441867885049
2025-05-09,3450.677320097569
2025-05-10,3445.81467107816
2025-05-11,3454.7647766055024
2025-05-12,3449.2604019234386
2025-05-13,3403.108211144438
2025-05-14,3363.828789804096
2025-05-15,3310.6639881825577
2025-05-16,3311.0722570380917
2025-05-17,3287.807625519339
2025-05-18,3267.730481099719
2025-05-19,3228.8460733577294
2025-05-20,3293.278194745069
2025-05-21,3350.029187282831
2025-05-22,3412.135887628494
2025-05-23,3466.5878325204776
2025-05-24,3464.1949045145193
2025-05-25,3474.278805825057
2025-05-26,3435.772629269872
2025-05-27,3438.007640012757
2025-05-28,3418.9462899770047
2025-05-29,3380.0685510401986
2025-05-30,3371.5020260589467
2025-05-31,3404.5538350296815
2025-06-01,3386.391002849093
